repository_name,owner_username,stars,repository_url
typeorm,typeorm,30100,https://github.com/typeorm/typeorm
type-challenges,type-challenges,29300,https://github.com/type-challenges/type-challenges
prisma,prisma,28200,https://github.com/prisma/prisma
n8n,n8n-io,27500,https://github.com/n8n-io/n8n
sequelize,sequelize,27300,https://github.com/sequelize/sequelize
mobx,mobxjs,26000,https://github.com/mobxjs/mobx
angular-cli,angular,25900,https://github.com/angular/angular-cli
swc,swc-project,25500,https://github.com/swc-project/swc
ngx-admin,akveo,24200,https://github.com/akveo/ngx-admin
appsmith,appsmithorg,24100,https://github.com/appsmithorg/appsmith
xstate,statelyai,22300,https://github.com/statelyai/xstate
tools,rome,22100,https://github.com/rome/tools
NativeScript,NativeScript,22000,https://github.com/NativeScript/NativeScript
react-starter-kit,kriasoft,21700,https://github.com/kriasoft/react-starter-kit
react-bootstrap,react-bootstrap,21400,https://github.com/react-bootstrap/react-bootstrap
editor.js,codex-team,21200,https://github.com/codex-team/editor.js
autocomplete,withfig,21100,https://github.com/withfig/autocomplete
electron-react-boilerplate,electron-react-boilerplate,20700,https://github.com/electron-react-boilerplate/electron-react-boilerplate
table,TanStack,20400,https://github.com/TanStack/table
flatbuffers,google,19700,https://github.com/google/flatbuffers
