repository_name,owner_username,stars,repository_url
vscode,microsoft,141000,https://github.com/microsoft/vscode
TypeScript,microsoft,87500,https://github.com/microsoft/TypeScript
deno,denoland,87200,https://github.com/denoland/deno
angular,angular,85800,https://github.com/angular/angular
material-ui,mui,83800,https://github.com/mui/material-ui
ant-design,ant-design,83700,https://github.com/ant-design/ant-design
storybook,storybookjs,75900,https://github.com/storybookjs/storybook
nest,nestjs,53500,https://github.com/nestjs/nest
mermaid,mermaid-js,52900,https://github.com/mermaid-js/mermaid
ionic-framework,ionic-team,48500,https://github.com/ionic-team/ionic-framework
prettier,prettier,44600,https://github.com/prettier/prettier
DefinitelyTyped,DefinitelyTyped,42300,https://github.com/DefinitelyTyped/DefinitelyTyped
react,typescript-cheatsheets,38900,https://github.com/typescript-cheatsheets/react
bun,oven-sh,37700,https://github.com/oven-sh/bun
vuetify,vuetifyjs,36200,https://github.com/vuetifyjs/vuetify
esbuild,evanw,34300,https://github.com/evanw/esbuild
react-hook-form,react-hook-form,32600,https://github.com/react-hook-form/react-hook-form
monaco-editor,microsoft,32500,https://github.com/microsoft/monaco-editor
taro,NervJS,32100,https://github.com/NervJS/taro
30-Days-Of-JavaScript,Asabeneh,31800,https://github.com/Asabeneh/30-Days-Of-JavaScript
