repository_name,owner_username,stars,repository_url
advanced-go-programming-book,chai2010,18000,https://github.com/chai2010/advanced-go-programming-book
mux,gorilla,18000,https://github.com/gorilla/mux
gotty,yudai,17400,https://github.com/yudai/gotty
grpc-go,grpc,17400,https://github.com/grpc/grpc-go
learngo,inancgumus,16800,https://github.com/inancgumus/learngo
goreplay,buger,16700,https://github.com/buger/goreplay
bubbletea,charmbracelet,16500,https://github.com/charmbracelet/bubbletea
redis,go-redis,16200,https://github.com/go-redis/redis
golang-developer-roadmap,Alikhll,16100,https://github.com/Alikhll/golang-developer-roadmap
slim,slimtoolkit,15900,https://github.com/slimtoolkit/slim
trivy,aquasecurity,15600,https://github.com/aquasecurity/trivy
gin-vue-admin,flipped-aurora,15500,https://github.com/flipped-aurora/gin-vue-admin
vim-go,fatih,15200,https://github.com/fatih/vim-go
httprouter,julienschmidt,14800,https://github.com/julienschmidt/httprouter
grpc-gateway,grpc-ecosystem,14800,https://github.com/grpc-ecosystem/grpc-gateway
pulumi,pulumi,14700,https://github.com/pulumi/pulumi
kops,kubernetes,14600,https://github.com/kubernetes/kops
wtf,wtfutil,14500,https://github.com/wtfutil/wtf
cayley,cayleygraph,14400,https://github.com/cayleygraph/cayley
Qix,ty4z2008,14100,https://github.com/ty4z2008/Qix
