repository_name,owner_username,stars,repository_url
excelize,qax-os,14100,https://github.com/qax-os/excelize
wails,wailsapp,13600,https://github.com/wailsapp/wails
GoBooks,dariubs,13600,https://github.com/dariubs/GoBooks
casbin,casbin,13500,https://github.com/casbin/casbin
teleport,gravitational,13400,https://github.com/gravitational/teleport
bolt,boltdb,13400,https://github.com/boltdb/bolt
zinc,zinclabs,13200,https://github.com/zinclabs/zinc
gods,emirpasic,13100,https://github.com/emirpasic/gods
chi,go-chi,13100,https://github.com/go-chi/chi
rqlite,rqlite,13000,https://github.com/rqlite/rqlite
guide,uber-go,13000,https://github.com/uber-go/guide
mysql,go-sql-driver,13000,https://github.com/go-sql-driver/mysql
tink,google,12900,https://github.com/google/tink
codis,CodisLabs,12700,https://github.com/CodisLabs/codis
compiler-explorer,compiler-explorer,12400,https://github.com/compiler-explorer/compiler-explorer
nats-server,nats-io,12100,https://github.com/nats-io/nats-server
primitive,fogleman,12100,https://github.com/fogleman/primitive
Halfrost-Field,halfrost,11800,https://github.com/halfrost/Halfrost-Field
golangci-lint,golangci,11700,https://github.com/golangci/golangci-lint
gopherjs,gopherjs,11700,https://github.com/gopherjs/gopherjs
