repository_name,owner_username,stars,repository_url
go-zero,zeromicro,22200,https://github.com/zeromicro/go-zero
logrus,sirupsen,21900,https://github.com/sirupsen/logrus
go-patterns,tmrts,21100,https://github.com/tmrts/go-patterns
micro,zyedidia,20900,https://github.com/zyedidia/micro
vegeta,tsenart,20600,https://github.com/tsenart/vegeta
lux,iawia002,19900,https://github.com/iawia002/lux
go-micro,go-micro,19900,https://github.com/go-micro/go-micro
delve,go-delve,19800,https://github.com/go-delve/delve
kratos,go-kratos,19700,https://github.com/go-kratos/kratos
flatbuffers,google,19700,https://github.com/google/flatbuffers
cli,urfave,19600,https://github.com/urfave/cli
k9s,derailed,19200,https://github.com/derailed/k9s
fyne,fyne-io,19200,https://github.com/fyne-io/fyne
k6,grafana,19100,https://github.com/grafana/k6
restic,restic,19000,https://github.com/restic/restic
learn-go-with-tests,quii,19000,https://github.com/quii/learn-go-with-tests
dgraph,dgraph-io,18800,https://github.com/dgraph-io/dgraph
websocket,gorilla,18700,https://github.com/gorilla/websocket
colly,gocolly,18600,https://github.com/gocolly/colly
testify,stretchr,18600,https://github.com/stretchr/testify
